study_type,poverty_context,mechanism,behavior,title,date
Observational,Low resource level,"Locus of control, Self-efficacy",Labor Supply,How Is Smart Pension Possible from the Perspective of Population Aging,2021
"Observational, Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,Life stories and formation of subordinate subjectivity. Note on social research in Italy by Danilo Montaldi,2018
"Observational, First-hand observations, Interviews","Low resource level, Social environment",Internalized stigma,Educational achievement,Influence of teacher–student interactions on kindergarten children's developing gender identity within the Pakistani urban classroom culture,2010
"Observational, Cross-sectional",Low resource level,"Stress, Anxiety","Consumption, Medication adherence",What the New Biden Administration May Mean for Medicaid,2021
Observational,Low resource level,"Anxiety, Stress",Consumption,Public Policy Public Goods and the Impact of the pandemic crisis with special respect to the case of Greece,2021
Observational,Low resource level,"Internalized stigma, Locus of control",Educational achievement,School choice increases racial segregation even when parents do not care about race,2022
"Observational, Longitudinal / Panel",Low resource level,Executive function,Labor Supply,EFFECT OF FORMAL EDUCATION ON POVERTY REDUCTION IN NIGERIA,2023
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Consumption,The Colombian Health Insurance System and its Effect on Access to Health Care,2011
"Observational, Cross-sectional",Low resource level,"Anxiety, Stress","Consumption, Insufficient info",Humanitarian Solutions to Improve Dignity and Wellbeing for Rohingya Refugees In Bangladesh,2020
"Observational, Interviews",Low resource level,Aspirations,Educational achievement,America’s College Promise,2016
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Food diet,Acute gastrointestinal illness following a prolonged community-wide water emergency,2015
"Randomized (controlled) trial, Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Executive control, Executive function, Stress",Educational achievement,Adaption and implementation of the engage programme within the early childhood curriculum,2022
Cross-sectional,Low resource level,Time preferences,Medication adherence,Unintended pregnancy and antenatal care behavior in Indonesia,2022
"Observational, Interviews",Low resource level,"Fluid intelligence, Aspirations",Family interaction,"Fragmented feminists? the influence of class and political identity in relations between the Glasgow and West of Scotland suffrage society and the independent labour party in the West of Scotland,<i>c.</i>1919-1932",2005
Observational,Low resource level,"Anxiety, Stress","Family interaction, Violence",Primum non nocere: rethinking our policies on out‐of‐home care in Australia,2017
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Crime,Do Community Characteristics Predict Alcohol-Related Crime?,2011
Cross-sectional,"Low resource level, Social environment","Anxiety, Stress",Food diet,Structural Discrimination is Associated With Smoking Status Among a National Sample of Transgender Individuals,2015
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Aspirations, Self-efficacy","Educational achievement, Parenting",Co-designing a physical activity intervention for low-income mothers of preschool-aged children with community leaders: a qualitative study,2024
"Observational, Systematic review",Low resource level,Happiness,Consumption,Consumer Happiness: Origin and Development of the Concept.,2023
"Observational, Interviews",Human capital inputs,"Self esteem, Happiness",Educational achievement,Some aspects of the children-friendly school with holistic approach,2022
"Observational, Interviews","Low resource level, Social environment","Aspirations, Internalized stigma",Educational achievement,Perceptions of teacher education students at a South African university on the relationship between culture and education: implications for social justice,2017
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Social environment","Anxiety, Depression, Stress","Consumption, Food diet",The Role of Stressful Life Events among Women Experiencing Homelessness: An Intragroup Analysis,2020
Observational,Low resource level,Risk preferences,Investing,"From Economic Freedom to Economic and Social Poverty: Institutional Approaches to the Business Enterprise, Structural Change, and the Role for Government",2010
"Interviews, Observational","Low resource level, Human capital inputs",Aspirations,Educational achievement,Family literacy and unit standards: can they work together?,2016
"Observational, Longitudinal / Panel",Low resource level,"Executive function, Self-efficacy",Parenting,Patterns of Father Involvement and Child Development among Families with Low Income,2021
Observational,Low resource level,"Memory, Working memory",Educational achievement,Distance Education and Learning (DEL) in The Master of Law Program in Facing Challenges in The Era of Disruption,2022
"Observational, Cross-sectional",Low resource level,Internalized stigma,Educational achievement,Fair and affordable? Racial and ethnic segregation and inequality in New York City rental housing,2011
"Interviews, Ethnography","Low resource level, Resource volatility","Aspirations, Locus of control","Educational achievement, Family interaction","Parochialism or Pragmatic Resistance? The Role of Community-engaged Leadership, Activist Scholarship, and Vulnerable Rural Ecologies within School Reform",2022
"Observational, Longitudinal / Panel",Low resource level,Self-efficacy,Educational achievement,Determinant of Village Community Welfare Improvement,2020
"Observational, Longitudinal / Panel",Low resource level,"Time preferences, Risk preferences","Labor Supply, Saving","Overwork, Specialization, and Wealth",2019
Randomized (controlled) trial,Low resource level,"Anxiety, Depression",Violence,An Evaluation of the Implementation and Impact of England's Mandated School-Based Mental Health Initiative in Elementary Schools,2015
"Observational, Systematic review","Low resource level, Social environment","Anxiety, Depression, Self-efficacy",Medication adherence,Toward an enhanced understanding of psychological resilience for HIV youth populations,2018
Randomized (controlled) trial,Low resource level,"Self-efficacy, Time preferences",Investing,Agency-Based Empowerment Training Enhances Sales Capacity of Female Energy Entrepreneurs in Kenya,2015
Observational,"Low resource level, Resource volatility","Anxiety, Stress",Medication adherence,The Correlation of Tuberculosis Smear Results and Immuno-suppression with CD4+ Counts as Surrogate Among HIV Infected Patients,2022
Cross-sectional,"Low resource level, Resource volatility",Stress,Labor Supply,Informal plastic waste recycling firms in rural eastern India: Implications for livelihood and health,2023
Observational,Low resource level,Time preferences,Investing,Sovereign Bond Ratings and Neoliberalism in Latin America,2007
"Observational, Cross-sectional","Low resource level, Physical environment","Aspirations, Locus of control",Educational achievement,Swept Out: Measuring Rurality and Migration Intentions on the Upper Great Plains,2016
"Cross-sectional, Longitudinal / Panel","Low resource level, Resource volatility, Physical environment","Attention, Stress","Medication adherence, Educational achievement","Relationship between implementing interpersonal communication and mass education campaigns in emergency settings and use of reproductive healthcare services: evidence from Darfur, Sudan",2015
Observational,Low resource level,Executive function,"Labor Supply, Occupational choice",Effect of Education and Unemployment on Poverty in Jambi Province,2021
"Observational, Difference-in-difference",Low resource level,"Locus of control, Self-efficacy",Investing,Exploring the Nexus Between Inclusive Growth and Institutional Quality,2022
"Observational, Longitudinal / Panel","Low resource level, Physical environment",Self-efficacy,Educational achievement,"Little changes, big results: the impact of simple changes to early years learning environments",2017
Longitudinal / Panel,"Low resource level, Physical environment","Executive function, Memory",Exercise,"Handgrip strength, ageing and mortality in rural Africa",2014
